,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-08-09,1,Flat,Señorita,Shawn Mendes,7728115,https://i.scdn.co/image/b68c52237ed6815023eb6e62ab93e380c04611a6,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
1,2019-08-09,2,Flat,China,Anuel AA,4989406,https://i.scdn.co/image/ab67616d000048515fa6dc9fc261344044c301a9,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,2019-08-09,3,Up,Ransom,Lil Tecca,3925157,https://i.scdn.co/image/ab67616d00004851422113b080aa8e2effae4fa2,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
3,2019-08-09,4,Down,boyfriend (with Social House),Ariana Grande,3923401,https://i.scdn.co/image/cc61398e747371ff2fac8e7d3c8540d441021df6,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
4,2019-08-09,5,Down,Beautiful People (feat. Khalid),Ed Sheeran,3801553,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,2019-08-09,6,Flat,I Don't Care (with Justin Bieber),Ed Sheeran,3781904,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
6,2019-08-09,7,Down,Goodbyes (Feat. Young Thug),Post Malone,3780619,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,2019-08-09,8,Flat,How Do You Sleep?,Sam Smith,3323651,https://i.scdn.co/image/52466230e99f77d0cbca479737e333d09e8a9749,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
8,2019-08-09,9,Flat,Old Town Road - Remix,Lil Nas X,3214548,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
9,2019-08-09,10,Flat,bad guy,Billie Eilish,3111552,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
10,2019-08-09,11,Flat,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,3059301,https://i.scdn.co/image/0f682cfc23a23509181d78d0e31088e6107928e2,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
11,2019-08-09,12,Flat,Callaita,Bad Bunny,3014582,https://i.scdn.co/image/25c85118c4a9a96f160407d4ef9c82bfe175c58f,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
12,2019-08-09,13,Flat,Someone You Loved,Lewis Capaldi,2794227,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,2019-08-09,14,Flat,Otro Trago - Remix,Sech,2535942,https://i.scdn.co/image/ab67616d00004851b195123bcd742d6019ac9dc8,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
14,2019-08-09,15,Flat,No Guidance (feat. Drake),Chris Brown,2484093,https://i.scdn.co/image/ab67616d000048519e588b0c2afe8178b2b76231,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
15,2019-08-09,16,Flat,Money In The Grave (Drake ft. Rick Ross),Drake,2426732,https://i.scdn.co/image/fc4497aa9502986aa3c1600da013bbb09dfbcefa,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
16,2019-08-09,17,Flat,LA CANCIÓN,J Balvin,2379284,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,2019-08-09,18,Up,Truth Hurts,Lizzo,2281057,https://i.scdn.co/image/ab67616d000048514d51081892dbe3f1ddf28914,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
18,2019-08-09,19,Flat,Piece Of Your Heart,MEDUZA,2271360,https://i.scdn.co/image/ab67616d0000485130272a26f7afa221f73984c7,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
19,2019-08-09,20,Down,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2265815,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
20,2019-08-09,21,Down,Lalala,Y2K,2237745,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
21,2019-08-09,22,Flat,No Me Conoce - Remix,Jhay Cortez,2174870,https://i.scdn.co/image/7c1abc03d7ec0746cea67364305bb40587b542ab,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
22,2019-08-09,23,Up,Soltera - Remix,Lunay,2174554,https://i.scdn.co/image/ab67616d0000485158e34ee7bc215e1b03ff78d4,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
23,2019-08-09,24,Up,Dance Monkey,Tones and I,2095836,https://i.scdn.co/image/ab67616d0000485138802659d156935ada63c9e3,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
