Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
2017-01-04,72,Up,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,735160,https://i.scdn.co/image/ab67616d00004851e53443feca656fafbbbae361,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
2017-01-04,73,Up,All Time Low,Jon Bellion,728412,https://i.scdn.co/image/ff06a4138a99d272c24d2f6da9b5ea6067c054db,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
2017-01-04,74,Up,Hymn for the Weekend - Seeb Remix,Coldplay,726016,https://i.scdn.co/image/ab67616d00004851e42f212796979596843a7376,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
2017-01-04,75,Up,The Ocean (feat. Shy Martin),Mike Perry,721729,https://i.scdn.co/image/ab67616d000048517f401862bfe87b552a75308d,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
2017-01-04,76,Down,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,716708,https://i.scdn.co/image/ab67616d000048517d8dfcfd507069d7f2062caf,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
2017-01-04,77,Down,Sorry,Justin Bieber,712723,https://i.scdn.co/image/ab67616d00004851b6d9a4fbb0bd49f0f034aead,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
2017-01-04,78,Down,Controlla,Drake,707973,https://i.scdn.co/image/ab67616d00004851726abca207567d5e41cb9667,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
2017-01-04,79,Down,X (feat. Future),21 Savage,697269,https://i.scdn.co/image/ab67616d000048512dd1ac4a61495080ef8f78ca,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
2017-01-04,80,Flat,Chill Bill,Rob $tone,697027,https://i.scdn.co/image/ab67616d000048516f3e9696889a2425338e0836,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
2017-01-04,81,Down,Shout Out to My Ex,Little Mix,690191,https://i.scdn.co/image/ab67616d000048512318bbb0586903290db2b270,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
2017-01-04,82,Up,Photograph,Ed Sheeran,664703,https://i.scdn.co/image/ab67616d00004851d08209944468440145f01524,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
2017-01-04,83,Flat,Needed Me,Rihanna,662679,https://i.scdn.co/image/ddc285ca9817c96c7719b3f2a759e108787db021,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
2017-01-04,84,Up,Traicionera,Sebastian Yatra,660224,https://i.scdn.co/image/ab67616d00004851dbe5e9f934a9be5db8884c52,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
2017-01-04,85,Down,Deu Onda,MC G15,656931,https://i.scdn.co/image/ab67616d000048518b4b30be47d016b7122dc88c,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
