,Audio Features Obj,Spotify_ID,id,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10,"{'danceability': 0.773, 'energy': 0.819, 'key': 0, 'loudness': -5.946, 'mode': 0, 'speechiness': 0.118, 'acousticness': 0.426, 'instrumentalness': 0, 'liveness': 0.0679, 'valence': 0.585, 'tempo': 92.99, 'type': 'audio_features', 'id': '5GXAXm5YOmYT0kL5jHvYBt', 'uri': 'spotify:track:5GXAXm5YOmYT0kL5jHvYBt', 'track_href': 'https://api.spotify.com/v1/tracks/5GXAXm5YOmYT0kL5jHvYBt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt', 'duration_ms': 269187, 'time_signature': 4}",5GXAXm5YOmYT0kL5jHvYBt,5GXAXm5YOmYT0kL5jHvYBt,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,0.773,0.819,0,-5.946,0,0.118,0.426,0.0,0.0679,0.585,92.99,269187,4
11,"{'danceability': 0.818, 'energy': 0.803, 'key': 1, 'loudness': -4.282, 'mode': 1, 'speechiness': 0.0797, 'acousticness': 0.034, 'instrumentalness': 0, 'liveness': 0.153, 'valence': 0.632, 'tempo': 106.97, 'type': 'audio_features', 'id': '6b8Be6ljOzmkOmFslEb23P', 'uri': 'spotify:track:6b8Be6ljOzmkOmFslEb23P', 'track_href': 'https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P', 'duration_ms': 225983, 'time_signature': 4}",6b8Be6ljOzmkOmFslEb23P,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4
12,"{'danceability': 0.697, 'energy': 0.691, 'key': 2, 'loudness': -4.757, 'mode': 1, 'speechiness': 0.146, 'acousticness': 0.214, 'instrumentalness': 0, 'liveness': 0.185, 'valence': 0.305, 'tempo': 137.853, 'type': 'audio_features', 'id': '1PSBzsahR2AKwLJgx8ehBj', 'uri': 'spotify:track:1PSBzsahR2AKwLJgx8ehBj', 'track_href': 'https://api.spotify.com/v1/tracks/1PSBzsahR2AKwLJgx8ehBj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1PSBzsahR2AKwLJgx8ehBj', 'duration_ms': 239293, 'time_signature': 4}",1PSBzsahR2AKwLJgx8ehBj,1PSBzsahR2AKwLJgx8ehBj,spotify:track:1PSBzsahR2AKwLJgx8ehBj,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,239293,4
13,"{'danceability': 0.835, 'energy': 0.413, 'key': 1, 'loudness': -9.81, 'mode': 1, 'speechiness': 0.396, 'acousticness': 0.373, 'instrumentalness': 0.00133, 'liveness': 0.101, 'valence': 0.111, 'tempo': 149.004, 'type': 'audio_features', 'id': '6fwdbPMwP1zVStm8FybmkO', 'uri': 'spotify:track:6fwdbPMwP1zVStm8FybmkO', 'track_href': 'https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO', 'duration_ms': 258880, 'time_signature': 4}",6fwdbPMwP1zVStm8FybmkO,6fwdbPMwP1zVStm8FybmkO,spotify:track:6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,258880,4
14,"{'danceability': 0.735, 'energy': 0.451, 'key': 0, 'loudness': -8.374, 'mode': 1, 'speechiness': 0.0585, 'acousticness': 0.0631, 'instrumentalness': 1.3e-05, 'liveness': 0.325, 'valence': 0.0862, 'tempo': 117.973, 'type': 'audio_features', 'id': '3NdDpSvN911VPGivFlV5d0', 'uri': 'spotify:track:3NdDpSvN911VPGivFlV5d0', 'track_href': 'https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0', 'duration_ms': 245200, 'time_signature': 4}",3NdDpSvN911VPGivFlV5d0,3NdDpSvN911VPGivFlV5d0,spotify:track:3NdDpSvN911VPGivFlV5d0,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,245200,4
15,"{'danceability': 0.783, 'energy': 0.623, 'key': 7, 'loudness': -6.126, 'mode': 1, 'speechiness': 0.08, 'acousticness': 0.338, 'instrumentalness': 0, 'liveness': 0.0975, 'valence': 0.447, 'tempo': 100.048, 'type': 'audio_features', 'id': '5MFzQMkrl1FOOng9tq6R9r', 'uri': 'spotify:track:5MFzQMkrl1FOOng9tq6R9r', 'track_href': 'https://api.spotify.com/v1/tracks/5MFzQMkrl1FOOng9tq6R9r', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r', 'duration_ms': 214480, 'time_signature': 4}",5MFzQMkrl1FOOng9tq6R9r,5MFzQMkrl1FOOng9tq6R9r,spotify:track:5MFzQMkrl1FOOng9tq6R9r,0.783,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048,214480,4
16,"{'danceability': 0.886, 'energy': 0.427, 'key': 6, 'loudness': -10.028, 'mode': 1, 'speechiness': 0.145, 'acousticness': 0.0312, 'instrumentalness': 0.00099, 'liveness': 0.0906, 'valence': 0.23, 'tempo': 108.034, 'type': 'audio_features', 'id': '5uDASfU19gDxSjW8cnCaBp', 'uri': 'spotify:track:5uDASfU19gDxSjW8cnCaBp', 'track_href': 'https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5uDASfU19gDxSjW8cnCaBp', 'duration_ms': 177184, 'time_signature': 4}",5uDASfU19gDxSjW8cnCaBp,5uDASfU19gDxSjW8cnCaBp,spotify:track:5uDASfU19gDxSjW8cnCaBp,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,177184,4
17,"{'danceability': 0.657, 'energy': 0.421, 'key': 9, 'loudness': -11.378, 'mode': 1, 'speechiness': 0.412, 'acousticness': 0.352, 'instrumentalness': 0.000218, 'liveness': 0.187, 'valence': 0.181, 'tempo': 174.063, 'type': 'audio_features', 'id': '6I6NX6tjGsxFAsIfGzY9lJ', 'uri': 'spotify:track:6I6NX6tjGsxFAsIfGzY9lJ', 'track_href': 'https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ', 'duration_ms': 264747, 'time_signature': 4}",6I6NX6tjGsxFAsIfGzY9lJ,6I6NX6tjGsxFAsIfGzY9lJ,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,264747,4
18,"{'danceability': 0.635, 'energy': 0.847, 'key': 7, 'loudness': -3.152, 'mode': 1, 'speechiness': 0.447, 'acousticness': 0.533, 'instrumentalness': 0, 'liveness': 0.154, 'valence': 0.568, 'tempo': 166.072, 'type': 'audio_features', 'id': '7JYsArznYOjX2jsrT3UEnL', 'uri': 'spotify:track:7JYsArznYOjX2jsrT3UEnL', 'track_href': 'https://api.spotify.com/v1/tracks/7JYsArznYOjX2jsrT3UEnL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7JYsArznYOjX2jsrT3UEnL', 'duration_ms': 234650, 'time_signature': 4}",7JYsArznYOjX2jsrT3UEnL,7JYsArznYOjX2jsrT3UEnL,spotify:track:7JYsArznYOjX2jsrT3UEnL,0.635,0.847,7,-3.152,1,0.447,0.533,0.0,0.154,0.568,166.072,234650,4
19,"{'danceability': 0.572, 'energy': 0.631, 'key': 1, 'loudness': -8.389, 'mode': 1, 'speechiness': 0.104, 'acousticness': 0.188, 'instrumentalness': 2.31e-05, 'liveness': 0.259, 'valence': 0.219, 'tempo': 77.519, 'type': 'audio_features', 'id': '4F7A0DXBrmUAkp32uenhZt', 'uri': 'spotify:track:4F7A0DXBrmUAkp32uenhZt', 'track_href': 'https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt', 'duration_ms': 249213, 'time_signature': 4}",4F7A0DXBrmUAkp32uenhZt,4F7A0DXBrmUAkp32uenhZt,spotify:track:4F7A0DXBrmUAkp32uenhZt,0.572,0.631,1,-8.389,1,0.104,0.188,2.31e-05,0.259,0.219,77.519,249213,4
