,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2018-12-12,1,Flat,"thank u, next",Ariana Grande,5757968,https://i.scdn.co/image/ab67616d00004851837150a0f5cc7a6c4acb8e68,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
1,2018-12-12,2,Flat,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3647852,https://i.scdn.co/image/ab67616d00004851f80bb01db0475af1f9a3be50,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,2018-12-12,3,Flat,Without Me,Halsey,3341915,https://i.scdn.co/image/3b32022e7070392b3800c67badce20d6f7d3a34c,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
3,2018-12-12,4,Flat,All I Want for Christmas Is You,Mariah Carey,3019249,https://i.scdn.co/image/ab67616d000048514246e3158421f5abb75abc4f,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,2018-12-12,5,Flat,MIA (feat. Drake),Bad Bunny,2939810,https://i.scdn.co/image/ab67616d000048514d382194384bc6e08eb090f6,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
5,2018-12-12,6,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2863910,https://i.scdn.co/image/ab67616d00004851ef376d3257503f734de0eefc,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
6,2018-12-12,7,Flat,SICKO MODE,Travis Scott,2707955,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
7,2018-12-12,8,Flat,Happier,Marshmello,2608696,https://i.scdn.co/image/9229fef0b5c4b66883b901a62d69d13832cd6f27,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
8,2018-12-12,9,Flat,ZEZE (feat. Travis Scott & Offset),Kodak Black,2553313,https://i.scdn.co/image/ab67616d000048518a5a04dbb1c7a3242fdfdfe8,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
9,2018-12-12,10,Flat,Going Bad (feat. Drake),Meek Mill,2514960,https://i.scdn.co/image/ab67616d00004851cd63c5962050729d260077d6,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
10,2018-12-12,11,Flat,Last Christmas,Wham!,2401389,https://i.scdn.co/image/ab67616d00004851f2d2adaa21ad616df6241e7d,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
11,2018-12-12,12,Flat,Sweet but Psycho,Ava Max,2343689,https://i.scdn.co/image/ab67616d00004851c5015d2a9270865a5979f56b,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
12,2018-12-12,13,Flat,Adan y Eva,Paulo Londra,2309065,https://i.scdn.co/image/ab67616d0000485144de3fd4618260574d905bcc,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
13,2018-12-12,14,Flat,Shallow,Lady Gaga,2139509,https://i.scdn.co/image/c3e58f0c35cd87a247468863e25ed47be3502c4d,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
14,2018-12-12,15,Flat,whoa (mind in awe),XXXTENTACION,2047219,https://i.scdn.co/image/ab67616d00004851da9e59639a9759d8952890c6,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
15,2018-12-12,16,Up,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2021735,https://i.scdn.co/image/ab67616d0000485197edb4fc7ac3510ca4bb021c,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
16,2018-12-12,17,Up,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2020143,https://i.scdn.co/image/fdfd6e34a35e299e2b498279ffed1f5643730dba,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
17,2018-12-12,18,Up,Mo Bamba,Sheck Wes,1993114,https://i.scdn.co/image/ab67616d0000485159cd47039c5b10ed919fbaa8,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
18,2018-12-12,19,Down,BAD!,XXXTENTACION,1974918,https://i.scdn.co/image/ab67616d00004851da9e59639a9759d8952890c6,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
19,2018-12-12,20,Flat,Santa Tell Me,Ariana Grande,1967860,https://i.scdn.co/image/ffefd2b9893e8a446dc02141045f2115d1d63203,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
20,2018-12-12,21,Flat,Bohemian Rhapsody - Remastered 2011,Queen,1917066,https://i.scdn.co/image/e2fb26176d381198b5ed65ef395f1485d0bc47dd,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
21,2018-12-12,22,Up,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1904574,https://i.scdn.co/image/ab67616d00004851ad79d30f49891b2a2f7757f8,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
22,2018-12-12,23,Up,when the party's over,Billie Eilish,1874731,https://i.scdn.co/image/ab67616d0000485104b3aa9683e334b8140d19e7,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
23,2018-12-12,24,Up,Eastside (with Halsey & Khalid),benny blanco,1864232,https://i.scdn.co/image/3af4876c00c91f68d9d4c4f10a1619c6acb5d6b7,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
24,2018-12-12,25,Down,SAD!,XXXTENTACION,1841598,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,2018-12-12,26,Up,Better,Khalid,1839746,https://i.scdn.co/image/ab67616d0000485160624c0781fd787c9aa4699c,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
26,2018-12-12,27,Up,It's Beginning to Look a Lot like Christmas,Michael Bublé,1833523,https://i.scdn.co/image/ab67616d00004851c08cdc7be557844f3610880d,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
