,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-07-25,1,Flat,Señorita,Shawn Mendes,8317972,https://i.scdn.co/image/b0d36f3a80a36960e34c04f21ba44e05ccf5991b,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
1,2019-07-25,2,Flat,I Don't Care (with Justin Bieber),Ed Sheeran,4271761,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
2,2019-07-25,3,Flat,Beautiful People (feat. Khalid),Ed Sheeran,4239365,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,2019-07-25,4,Flat,Goodbyes (Feat. Young Thug),Post Malone,4032058,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
4,2019-07-25,5,Flat,China,Anuel AA,4003761,https://i.scdn.co/image/ab67616d000048515fa6dc9fc261344044c301a9,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
5,2019-07-25,6,Flat,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,3405273,https://i.scdn.co/image/ab67616d00004851bc5839eea68e7ff7f1010f93,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
6,2019-07-25,7,Flat,bad guy,Billie Eilish,3340364,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
7,2019-07-25,8,Flat,How Do You Sleep?,Sam Smith,3171221,https://i.scdn.co/image/52466230e99f77d0cbca479737e333d09e8a9749,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
8,2019-07-25,9,Up,Callaita,Bad Bunny,2870248,https://i.scdn.co/image/25c85118c4a9a96f160407d4ef9c82bfe175c58f,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
9,2019-07-25,10,Up,Loco Contigo,DJ Snake,2797062,https://i.scdn.co/image/0f682cfc23a23509181d78d0e31088e6107928e2,https://open.spotify.com/track/1fBXSMOusjaj7GjzErHmUI
10,2019-07-25,11,Up,Otro Trago,Sech,2551818,https://i.scdn.co/image/ab67616d000048518643435482956bab8aa6fcfe,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
11,2019-07-25,12,Up,Ransom,Lil Tecca,2511295,https://i.scdn.co/image/ab67616d00004851422113b080aa8e2effae4fa2,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
12,2019-07-25,13,Up,Someone You Loved,Lewis Capaldi,2471417,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,2019-07-25,14,Down,bad guy (with Justin Bieber),Billie Eilish,2469001,https://i.scdn.co/image/4a8f2a7fa85d91550a8e57025484faff00fdb7e6,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
14,2019-07-25,15,Flat,Money In The Grave (Drake ft. Rick Ross),Drake,2441857,https://i.scdn.co/image/fc4497aa9502986aa3c1600da013bbb09dfbcefa,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
15,2019-07-25,16,Flat,Panini,Lil Nas X,2427663,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
16,2019-07-25,17,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2366998,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
17,2019-07-25,18,Up,Truth Hurts,Lizzo,2289270,https://i.scdn.co/image/ab67616d000048514d51081892dbe3f1ddf28914,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
18,2019-07-25,19,Flat,Antisocial (with Travis Scott),Ed Sheeran,2227120,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
19,2019-07-25,20,Up,Piece Of Your Heart,MEDUZA,2202515,https://i.scdn.co/image/ab67616d0000485130272a26f7afa221f73984c7,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
20,2019-07-25,21,Up,Soltera - Remix,Lunay,2126422,https://i.scdn.co/image/ab67616d0000485158e34ee7bc215e1b03ff78d4,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
21,2019-07-25,22,Up,Con Calma,Daddy Yankee,2099207,https://i.scdn.co/image/6f41eca468967b98da6eaebece3466c4c5dd0d89,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
22,2019-07-25,23,Up,LA CANCIÓN,J Balvin,2082904,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
23,2019-07-25,24,Up,Lalala,Y2K,2064365,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
24,2019-07-25,25,Up,No Me Conoce - Remix,Jhay Cortez,1963372,https://i.scdn.co/image/7c1abc03d7ec0746cea67364305bb40587b542ab,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
25,2019-07-25,26,Up,If I Can't Have You,Shawn Mendes,1951048,https://i.scdn.co/image/fc0fdce518f3abc901a2ce9b095028e021227985,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
26,2019-07-25,27,Down,You Need To Calm Down,Taylor Swift,1936193,https://i.scdn.co/image/964f2be6463cabde9f14cf2ec3b49cc822e90c3d,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
27,2019-07-25,28,Up,QUE PRETENDES,J Balvin,1811186,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
28,2019-07-25,29,Down,The Archer,Taylor Swift,1798224,https://i.scdn.co/image/1a78eb816b5e82c95d19feaeeffef730f70d2996,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
