,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-07-12,1,Flat,Señorita,Shawn Mendes,9557701,https://i.scdn.co/image/b0d36f3a80a36960e34c04f21ba44e05ccf5991b,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
1,2019-07-12,2,Up,I Don't Care (with Justin Bieber),Ed Sheeran,6238667,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
2,2019-07-12,3,Up,Beautiful People (feat. Khalid),Ed Sheeran,6042828,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,2019-07-12,4,Down,Goodbyes (Feat. Young Thug),Post Malone,5088255,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
4,2019-07-12,5,Down,bad guy,Billie Eilish,4764590,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
5,2019-07-12,6,New,bad guy (with Justin Bieber),Billie Eilish,4672398,https://i.scdn.co/image/4a8f2a7fa85d91550a8e57025484faff00fdb7e6,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
6,2019-07-12,7,New,Antisocial (with Travis Scott),Ed Sheeran,4265602,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
7,2019-07-12,8,Down,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,4199074,https://i.scdn.co/image/ab67616d00004851bc5839eea68e7ff7f1010f93,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
8,2019-07-12,9,New,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,3941042,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
9,2019-07-12,10,New,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,3539420,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
10,2019-07-12,11,Down,Callaita,Bad Bunny,3255679,https://i.scdn.co/image/25c85118c4a9a96f160407d4ef9c82bfe175c58f,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,2019-07-12,12,Up,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,3250274,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
12,2019-07-12,13,Down,Otro Trago,Sech,2936551,https://i.scdn.co/image/ab67616d000048518643435482956bab8aa6fcfe,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
13,2019-07-12,14,Down,Panini,Lil Nas X,2929026,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
14,2019-07-12,15,Down,Money In The Grave (Drake ft. Rick Ross),Drake,2913571,https://i.scdn.co/image/fc4497aa9502986aa3c1600da013bbb09dfbcefa,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
15,2019-07-12,16,Up,Best Part of Me (feat. YEBBA),Ed Sheeran,2718970,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
16,2019-07-12,17,Down,Someone You Loved,Lewis Capaldi,2674059,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,2019-07-12,18,Down,Loco Contigo (with J. Balvin & Tyga),DJ Snake,2635906,https://i.scdn.co/image/ab67616d00004851e664d3020cc29bfa931ba42b,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
18,2019-07-12,19,Down,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2548063,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
19,2019-07-12,20,Down,Piece Of Your Heart,MEDUZA,2488697,https://i.scdn.co/image/ab67616d0000485130272a26f7afa221f73984c7,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
20,2019-07-12,21,Down,Soltera - Remix,Lunay,2467669,https://i.scdn.co/image/ab67616d0000485158e34ee7bc215e1b03ff78d4,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
21,2019-07-12,22,New,Take Me Back to London (feat. Stormzy),Ed Sheeran,2455247,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
22,2019-07-12,23,Down,Con Calma,Daddy Yankee,2453940,https://i.scdn.co/image/6f41eca468967b98da6eaebece3466c4c5dd0d89,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
23,2019-07-12,24,Down,Truth Hurts,Lizzo,2348537,https://i.scdn.co/image/ab67616d000048514d51081892dbe3f1ddf28914,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
24,2019-07-12,25,Down,You Need To Calm Down,Taylor Swift,2255577,https://i.scdn.co/image/964f2be6463cabde9f14cf2ec3b49cc822e90c3d,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
25,2019-07-12,26,New,Nothing On You (feat. Paulo Londra & Dave),Ed Sheeran,2244550,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/2qRN7PWiHRLprw4FpDeI9N
26,2019-07-12,27,Down,If I Can't Have You,Shawn Mendes,2217099,https://i.scdn.co/image/fc0fdce518f3abc901a2ce9b095028e021227985,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
27,2019-07-12,28,Down,Never Really Over,Katy Perry,2106926,https://i.scdn.co/image/a75b95fdcb510d30caa8301c5c214d8f624e9749,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
28,2019-07-12,29,Down,LA CANCIÓN,J Balvin,2096397,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
29,2019-07-12,30,Down,QUE PRETENDES,J Balvin,2093191,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
30,2019-07-12,31,Down,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2049717,https://i.scdn.co/image/ab67616d00004851c6f9783d7f7670d09454ef71,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
31,2019-07-12,32,Down,Call You Mine,The Chainsmokers,2031621,https://i.scdn.co/image/7065abb212841cca82f843c0259562be6252198f,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
32,2019-07-12,33,Down,Ransom,Lil Tecca,2022299,https://i.scdn.co/image/ab67616d00004851422113b080aa8e2effae4fa2,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
33,2019-07-12,34,Down,No Me Conoce - Remix,Jhay Cortez,2020328,https://i.scdn.co/image/7c1abc03d7ec0746cea67364305bb40587b542ab,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
34,2019-07-12,35,Down,Sucker,Jonas Brothers,1982734,https://i.scdn.co/image/bc3468f5cdd95e6b35ec0752aee535104fb17cbf,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
35,2019-07-12,36,New,Feels (feat. Young Thug & J Hus),Ed Sheeran,1938656,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/1Bdptrvb7nQkq8kCw3siE9
36,2019-07-12,37,Up,BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,1912375,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/7hvO2qCwJVZxiyoA7c9i5d
