,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-01-13,1,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4252391,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
1,2019-01-13,2,Up,"thank u, next",Ariana Grande,3614508,https://i.scdn.co/image/ab67616d00004851837150a0f5cc7a6c4acb8e68,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,2019-01-13,3,Down,Wow.,Post Malone,3576162,https://i.scdn.co/image/ab67616d0000485179eb2363cc79781b03d80b2e,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,2019-01-13,4,Flat,Without Me,Halsey,3326511,https://i.scdn.co/image/3b32022e7070392b3800c67badce20d6f7d3a34c,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
4,2019-01-13,5,Flat,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2949147,https://i.scdn.co/image/ab67616d00004851f80bb01db0475af1f9a3be50,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,2019-01-13,6,Flat,Calma - Remix,Pedro Capó,2935663,https://i.scdn.co/image/ab67616d00004851c736f0be0530ea1e1a7fd601,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,2019-01-13,7,Flat,Sweet but Psycho,Ava Max,2797743,https://i.scdn.co/image/ab67616d00004851c5015d2a9270865a5979f56b,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
7,2019-01-13,8,Flat,MIA (feat. Drake),Bad Bunny,2536288,https://i.scdn.co/image/ab67616d000048514d382194384bc6e08eb090f6,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
8,2019-01-13,9,Flat,High Hopes,Panic! At The Disco,2454160,https://i.scdn.co/image/ab67616d00004851c5148520a59be191eea16989,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
9,2019-01-13,10,Flat,Happier,Marshmello,2430354,https://i.scdn.co/image/9229fef0b5c4b66883b901a62d69d13832cd6f27,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,2019-01-13,11,Flat,SICKO MODE,Travis Scott,2338621,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
11,2019-01-13,12,Flat,Adan y Eva,Paulo Londra,2254252,https://i.scdn.co/image/ab67616d0000485144de3fd4618260574d905bcc,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
12,2019-01-13,13,Up,Dancing With A Stranger (with Normani),Sam Smith,2132979,https://i.scdn.co/image/d89f8d9d6d15d3f204ceffb5f87cc61bcc940515,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
13,2019-01-13,14,Down,Lost in the Fire,Gesaffelstein,2132695,https://i.scdn.co/image/ab67616d00004851b5afba489a7f5a5c1f101f56,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
14,2019-01-13,15,Down,Going Bad (feat. Drake),Meek Mill,2113164,https://i.scdn.co/image/ab67616d00004851cd63c5962050729d260077d6,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
15,2019-01-13,16,Flat,Shallow,Lady Gaga,2091579,https://i.scdn.co/image/c3e58f0c35cd87a247468863e25ed47be3502c4d,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
16,2019-01-13,17,Flat,ZEZE,Kodak Black,2025277,https://i.scdn.co/image/ab67616d00004851f9508eb3070b95ceeb82788b,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
17,2019-01-13,18,Up,Eastside (with Halsey & Khalid),benny blanco,1860279,https://i.scdn.co/image/3af4876c00c91f68d9d4c4f10a1619c6acb5d6b7,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
18,2019-01-13,19,Down,Mo Bamba,Sheck Wes,1801163,https://i.scdn.co/image/ab67616d0000485159cd47039c5b10ed919fbaa8,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
19,2019-01-13,20,Flat,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1766553,https://i.scdn.co/image/fdfd6e34a35e299e2b498279ffed1f5643730dba,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
20,2019-01-13,21,Flat,Saturday Nights,Khalid,1762111,https://i.scdn.co/image/ab67616d0000485160624c0781fd787c9aa4699c,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
21,2019-01-13,22,Up,when the party's over,Billie Eilish,1673237,https://i.scdn.co/image/ab67616d0000485104b3aa9683e334b8140d19e7,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
22,2019-01-13,23,Down,Better Now,Post Malone,1659290,https://i.scdn.co/image/4eeab79394ac6dd1d58132e9cecc5d6ba61b9ca1,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,2019-01-13,24,Down,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1624149,https://i.scdn.co/image/ab67616d0000485197edb4fc7ac3510ca4bb021c,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
24,2019-01-13,25,Up,SAD!,XXXTENTACION,1614923,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,2019-01-13,26,Down,Girls Like You (feat. Cardi B),Maroon 5,1592682,https://i.scdn.co/image/713dd96693d1706e93f98854598ef52db28090a6,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
26,2019-01-13,27,Down,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1567161,https://i.scdn.co/image/45d08e7e989c9bf885cc548305a3d692a68646f0,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
27,2019-01-13,28,Up,Be Alright,Dean Lewis,1551931,https://i.scdn.co/image/3d9533b540df9df2b95f37f8024028ed2f9fffd7,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
28,2019-01-13,29,Flat,Bohemian Rhapsody - Remastered 2011,Queen,1533152,https://i.scdn.co/image/e2fb26176d381198b5ed65ef395f1485d0bc47dd,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
