,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2018-02-06,1,Flat,God's Plan,Drake,7007942,https://i.scdn.co/image/ab67616d000048515e8f046078b784e6f8502008,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
1,2018-02-06,2,Flat,Havana (feat. Young Thug),Camila Cabello,3260176,https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
2,2018-02-06,3,Flat,rockstar,Post Malone,3245255,https://i.scdn.co/image/ab67616d00004851d3884f06c92d826ecd87a319,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
3,2018-02-06,4,Flat,IDGAF,Dua Lipa,3009886,https://i.scdn.co/image/ab67616d000048516b915e407b70e121e06fe979,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
4,2018-02-06,5,Flat,Finesse - Remix; feat. Cardi B,Bruno Mars,2847077,https://i.scdn.co/image/ab67616d0000485147e522adf030a78615cdea06,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,2018-02-06,6,Flat,Pray For Me (with Kendrick Lamar),The Weeknd,2766822,https://i.scdn.co/image/ab67616d00004851de0dea2e10958919f64191c3,https://open.spotify.com/track/6ZNo7Vi0TE9ul1fhKd4S1M
6,2018-02-06,7,Flat,River (feat. Ed Sheeran),Eminem,2641598,https://i.scdn.co/image/ab67616d00004851255191ed87a907d362b43f19,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
7,2018-02-06,8,Up,Never Be the Same,Camila Cabello,2462837,https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
8,2018-02-06,9,Down,Échame La Culpa,Luis Fonsi,2418236,https://i.scdn.co/image/ab67616d000048510ac9a58447dfccc5127248e0,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
9,2018-02-06,10,Up,Mine,Bazzi,2308895,https://i.scdn.co/image/ab67616d0000485173924baaee2d2e94829953bf,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
10,2018-02-06,11,Down,Let You Down,NF,2303149,https://i.scdn.co/image/ab67616d0000485139e85b6ae069d1e25bbc89df,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
11,2018-02-06,12,Flat,Wolves,Selena Gomez,2233765,https://i.scdn.co/image/ab67616d0000485110368f28dac3b838770f985c,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
12,2018-02-06,13,Down,New Rules,Dua Lipa,2229720,https://i.scdn.co/image/ab67616d000048516b915e407b70e121e06fe979,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
13,2018-02-06,14,Down,Him & I (with Halsey),G-Eazy,2219366,https://i.scdn.co/image/ab67616d00004851046527a9c176f7c2916f3530,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
14,2018-02-06,15,Flat,All The Stars (with SZA),Kendrick Lamar,2202063,https://i.scdn.co/image/ab67616d00004851c5e430524a438a0e9aec2556,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
15,2018-02-06,16,Up,The Middle,Zedd,2185251,https://i.scdn.co/image/0557d7b7e38ea3dba6c6ecca038bd33b7c69e60f,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
16,2018-02-06,17,Down,Perfect,Ed Sheeran,2165462,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
17,2018-02-06,18,Down,Stir Fry,Migos,2147313,https://i.scdn.co/image/36f1a1c6bddf8a4c0b9e6c7612a9b25048904344,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
18,2018-02-06,19,Down,Sick Boy,The Chainsmokers,2065961,https://i.scdn.co/image/ab67616d00004851d7d74b46db493ab3e45c391e,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
19,2018-02-06,20,Flat,I Fall Apart,Post Malone,2049006,https://i.scdn.co/image/23bae95100dcb6ac8f88c19fa2a11c50a998a926,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
20,2018-02-06,21,Up,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2048208,https://i.scdn.co/image/ab67616d000048511ba5682505dd6e2592b16e41,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
21,2018-02-06,22,Flat,Dura,Daddy Yankee,1987741,https://i.scdn.co/image/ab67616d00004851407475cb28e657ec856dcbaf,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
22,2018-02-06,23,Down,Say Something,Justin Timberlake,1894671,https://i.scdn.co/image/ab67616d000048514626ff0fee963da605f6aa06,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
23,2018-02-06,24,Flat,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,1894456,https://i.scdn.co/image/ab67616d00004851dbdc892395413def043e0655,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
24,2018-02-06,25,Up,These Days,Rudimental,1867752,https://i.scdn.co/image/ab67616d00004851e9f49a29f00d42d7857794a5,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
25,2018-02-06,26,Down,Shape of You,Ed Sheeran,1806884,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
26,2018-02-06,27,Down,Rewrite The Stars,Zac Efron,1738174,https://i.scdn.co/image/ab67616d00004851d44e723b677380dfbc899bcd,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
27,2018-02-06,28,Down,Corazón,Maluma,1683328,https://i.scdn.co/image/ab67616d000048516876ec811b26ba2094565b34,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
28,2018-02-06,29,Up,I Miss You (feat. Julia Michaels),Clean Bandit,1681256,https://i.scdn.co/image/ab67616d000048518341ce7a7a1f4ab4182823d5,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
29,2018-02-06,30,Down,Bella,Wolfine,1668111,https://i.scdn.co/image/ab67616d000048517545b0cf4455b3d8a9ff57ed,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
30,2018-02-06,31,Down,What Lovers Do (feat. SZA),Maroon 5,1656561,https://i.scdn.co/image/ab67616d000048519ccf08d3f74b36b7880522b5,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
31,2018-02-06,32,Down,Downtown,Anitta,1637194,https://i.scdn.co/image/ab67616d000048518c6b830c36c7b4ac43c3cee8,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
32,2018-02-06,33,Flat,This Is Me,Keala Settle,1628891,https://i.scdn.co/image/ab67616d00004851b33c769adce9e164764a7ca0,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
33,2018-02-06,34,Down,Too Good At Goodbyes,Sam Smith,1627533,https://i.scdn.co/image/eb645ad7342e0f34817e16d9d4061c3b5e374d4c,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
34,2018-02-06,35,Down,Silence,Marshmello,1606495,https://i.scdn.co/image/ab67616d00004851f33ba583059dc2f7d08bf2b8,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
35,2018-02-06,36,Flat,Déjala que vuelva (feat. Manuel Turizo),Piso 21,1566650,https://i.scdn.co/image/ab67616d000048514ed4c2e64f7bf0977aa70b42,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
36,2018-02-06,37,Up,Narcos,Migos,1525104,https://i.scdn.co/image/36f1a1c6bddf8a4c0b9e6c7612a9b25048904344,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
37,2018-02-06,38,Down,Criminal,Natti Natasha,1494512,https://i.scdn.co/image/ab67616d000048515f3f4af0d3e662247a7d8cff,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
38,2018-02-06,39,Up,Bartier Cardi (feat. 21 Savage),Cardi B,1463457,https://i.scdn.co/image/ab67616d000048518cb4b5d8ae71725b96b8907c,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
39,2018-02-06,40,Flat,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,1427540,https://i.scdn.co/image/ab67616d00004851af6b2fca3b6e24612a5fe5d8,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
40,2018-02-06,41,Flat,Dusk Till Dawn - Radio Edit,ZAYN,1412485,https://i.scdn.co/image/ab67616d0000485123852b7ef0ecfe29d38d97ee,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
41,2018-02-06,42,Flat,Thunder,Imagine Dragons,1403454,https://i.scdn.co/image/ab67616d000048517956bd9a3d7a15e4c2e37cc6,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
42,2018-02-06,43,Down,Feel It Still,Portugal. The Man,1398058,https://i.scdn.co/image/ab67616d00004851af52c228c9619ff6298b08cd,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
43,2018-02-06,44,Up,No Limit,G-Eazy,1391302,https://i.scdn.co/image/ab67616d00004851046527a9c176f7c2916f3530,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
44,2018-02-06,45,Down,Sensualidad,Bad Bunny,1362485,https://i.scdn.co/image/ab67616d00004851c0ca1263b2966ddff794d3bb,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
45,2018-02-06,46,Up,XO Tour Llif3,Lil Uzi Vert,1346892,https://i.scdn.co/image/ab67616d0000485141b41e6f7924e530a9b00f9c,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
