,Audio Features Obj,Internal Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32,"{'danceability': 0.529, 'energy': 0.838, 'key': 8, 'loudness': -2.619, 'mode': 1, 'speechiness': 0.212, 'acousticness': 0.337, 'instrumentalness': 0, 'liveness': 0.127, 'valence': 0.355, 'tempo': 88.052, 'type': 'audio_features', 'id': '3m62bJJXGyQKdR9XyRocnl', 'uri': 'spotify:track:3m62bJJXGyQKdR9XyRocnl', 'track_href': 'https://api.spotify.com/v1/tracks/3m62bJJXGyQKdR9XyRocnl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3m62bJJXGyQKdR9XyRocnl', 'duration_ms': 238960, 'time_signature': 4}",3m62bJJXGyQKdR9XyRocnl,0.529,0.838,8,-2.619,1,0.212,0.337,0.0,0.127,0.355,88.052,238960,4
33,"{'danceability': 0.636, 'energy': 0.566, 'key': 6, 'loudness': -7.16, 'mode': 0, 'speechiness': 0.106, 'acousticness': 0.365, 'instrumentalness': 0.000353, 'liveness': 0.0917, 'valence': 0.425, 'tempo': 151.894, 'type': 'audio_features', 'id': '7kfTqGMzIHFWeBeOJALzRf', 'uri': 'spotify:track:7kfTqGMzIHFWeBeOJALzRf', 'track_href': 'https://api.spotify.com/v1/tracks/7kfTqGMzIHFWeBeOJALzRf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7kfTqGMzIHFWeBeOJALzRf', 'duration_ms': 235987, 'time_signature': 4}",7kfTqGMzIHFWeBeOJALzRf,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,235987,4
34,"{'danceability': 0.712, 'energy': 0.563, 'key': 1, 'loudness': -7.573, 'mode': 1, 'speechiness': 0.071, 'acousticness': 0.0269, 'instrumentalness': 0, 'liveness': 0.0776, 'valence': 0.299, 'tempo': 100.093, 'type': 'audio_features', 'id': '1ID1QFSNNxi0hiZCNcwjUC', 'uri': 'spotify:track:1ID1QFSNNxi0hiZCNcwjUC', 'track_href': 'https://api.spotify.com/v1/tracks/1ID1QFSNNxi0hiZCNcwjUC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ID1QFSNNxi0hiZCNcwjUC', 'duration_ms': 241853, 'time_signature': 4}",1ID1QFSNNxi0hiZCNcwjUC,0.712,0.563,1,-7.573,1,0.071,0.0269,0.0,0.0776,0.299,100.093,241853,4
35,"{'danceability': 0.559, 'energy': 0.716, 'key': 11, 'loudness': -3.964, 'mode': 0, 'speechiness': 0.39, 'acousticness': 0.737, 'instrumentalness': 0, 'liveness': 0.252, 'valence': 0.504, 'tempo': 176.618, 'type': 'audio_features', 'id': '4jtyUzZm9WLc2AdaJ1dso7', 'uri': 'spotify:track:4jtyUzZm9WLc2AdaJ1dso7', 'track_href': 'https://api.spotify.com/v1/tracks/4jtyUzZm9WLc2AdaJ1dso7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4jtyUzZm9WLc2AdaJ1dso7', 'duration_ms': 275227, 'time_signature': 4}",4jtyUzZm9WLc2AdaJ1dso7,0.559,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618,275227,4
36,"{'danceability': 0.69, 'energy': 0.235, 'key': 7, 'loudness': -8.651, 'mode': 1, 'speechiness': 0.0541, 'acousticness': 0.618, 'instrumentalness': 0.000144, 'liveness': 0.107, 'valence': 0.378, 'tempo': 99.906, 'type': 'audio_features', 'id': '7JXZq0JgG2zTrSOAgY8VMC', 'uri': 'spotify:track:7JXZq0JgG2zTrSOAgY8VMC', 'track_href': 'https://api.spotify.com/v1/tracks/7JXZq0JgG2zTrSOAgY8VMC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7JXZq0JgG2zTrSOAgY8VMC', 'duration_ms': 320400, 'time_signature': 4}",7JXZq0JgG2zTrSOAgY8VMC,0.69,0.235,7,-8.651,1,0.0541,0.618,0.000144,0.107,0.378,99.906,320400,4
37,"{'danceability': 0.809, 'energy': 0.463, 'key': 11, 'loudness': -11.377, 'mode': 1, 'speechiness': 0.0396, 'acousticness': 0.256, 'instrumentalness': 0.085, 'liveness': 0.109, 'valence': 0.364, 'tempo': 111.98, 'type': 'audio_features', 'id': '5mCPDVBb16L4XQwDdbRUpz', 'uri': 'spotify:track:5mCPDVBb16L4XQwDdbRUpz', 'track_href': 'https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz', 'duration_ms': 298941, 'time_signature': 4}",5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
38,"{'danceability': 0.801, 'energy': 0.727, 'key': 0, 'loudness': -4.687, 'mode': 1, 'speechiness': 0.0606, 'acousticness': 0.0864, 'instrumentalness': 0.00406, 'liveness': 0.112, 'valence': 0.218, 'tempo': 107.371, 'type': 'audio_features', 'id': '5EnYT6F7wEcdege6mDHEfO', 'uri': 'spotify:track:5EnYT6F7wEcdege6mDHEfO', 'track_href': 'https://api.spotify.com/v1/tracks/5EnYT6F7wEcdege6mDHEfO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5EnYT6F7wEcdege6mDHEfO', 'duration_ms': 234373, 'time_signature': 4}",5EnYT6F7wEcdege6mDHEfO,0.801,0.727,0,-4.687,1,0.0606,0.0864,0.00406,0.112,0.218,107.371,234373,4
39,"{'danceability': 0.794, 'energy': 0.735, 'key': 0, 'loudness': -4.204, 'mode': 1, 'speechiness': 0.054, 'acousticness': 0.108, 'instrumentalness': 0.00578, 'liveness': 0.112, 'valence': 0.223, 'tempo': 107.374, 'type': 'audio_features', 'id': '6Na5uKk5SsqZimk0hAWo8y', 'uri': 'spotify:track:6Na5uKk5SsqZimk0hAWo8y', 'track_href': 'https://api.spotify.com/v1/tracks/6Na5uKk5SsqZimk0hAWo8y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y', 'duration_ms': 234373, 'time_signature': 4}",6Na5uKk5SsqZimk0hAWo8y,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,234373,4
40,"{'danceability': 0.758, 'energy': 0.448, 'key': 7, 'loudness': -9.441, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.0309, 'instrumentalness': 8.67e-05, 'liveness': 0.558, 'valence': 0.373, 'tempo': 77.176, 'type': 'audio_features', 'id': '2XW4DbS6NddZxRPm5rMCeY', 'uri': 'spotify:track:2XW4DbS6NddZxRPm5rMCeY', 'track_href': 'https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY', 'duration_ms': 198960, 'time_signature': 4}",2XW4DbS6NddZxRPm5rMCeY,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960,4
41,"{'danceability': 0.663, 'energy': 0.846, 'key': 0, 'loudness': -5.226, 'mode': 1, 'speechiness': 0.453, 'acousticness': 0.00472, 'instrumentalness': 0, 'liveness': 0.292, 'valence': 0.526, 'tempo': 75.137, 'type': 'audio_features', 'id': '3tvkzvUTF0yoq3pdBi81I0', 'uri': 'spotify:track:3tvkzvUTF0yoq3pdBi81I0', 'track_href': 'https://api.spotify.com/v1/tracks/3tvkzvUTF0yoq3pdBi81I0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3tvkzvUTF0yoq3pdBi81I0', 'duration_ms': 255840, 'time_signature': 4}",3tvkzvUTF0yoq3pdBi81I0,0.663,0.846,0,-5.226,1,0.453,0.00472,0.0,0.292,0.526,75.137,255840,4
42,"{'danceability': 0.655, 'energy': 0.839, 'key': 9, 'loudness': -5.076, 'mode': 0, 'speechiness': 0.443, 'acousticness': 0.00534, 'instrumentalness': 0, 'liveness': 0.308, 'valence': 0.55, 'tempo': 74.867, 'type': 'audio_features', 'id': '5goGDc74vVREyN8al8CkPh', 'uri': 'spotify:track:5goGDc74vVREyN8al8CkPh', 'track_href': 'https://api.spotify.com/v1/tracks/5goGDc74vVREyN8al8CkPh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5goGDc74vVREyN8al8CkPh', 'duration_ms': 255840, 'time_signature': 4}",5goGDc74vVREyN8al8CkPh,0.655,0.839,9,-5.076,0,0.443,0.00534,0.0,0.308,0.55,74.867,255840,4
43,"{'danceability': 0.567, 'energy': 0.913, 'key': 8, 'loudness': -6.471, 'mode': 1, 'speechiness': 0.0736, 'acousticness': 0.0934, 'instrumentalness': 0.000124, 'liveness': 0.114, 'valence': 0.792, 'tempo': 93.35, 'type': 'audio_features', 'id': '1cTZMwcBJT0Ka3UJPXOeeN', 'uri': 'spotify:track:1cTZMwcBJT0Ka3UJPXOeeN', 'track_href': 'https://api.spotify.com/v1/tracks/1cTZMwcBJT0Ka3UJPXOeeN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN', 'duration_ms': 210926, 'time_signature': 4}",1cTZMwcBJT0Ka3UJPXOeeN,0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926,4
44,"{'danceability': 0.899, 'energy': 0.592, 'key': 11, 'loudness': -7.901, 'mode': 0, 'speechiness': 0.333, 'acousticness': 0.263, 'instrumentalness': 0, 'liveness': 0.0831, 'valence': 0.504, 'tempo': 149.953, 'type': 'audio_features', 'id': '54oMZ3blwWwuPN4wEoG5mk', 'uri': 'spotify:track:54oMZ3blwWwuPN4wEoG5mk', 'track_href': 'https://api.spotify.com/v1/tracks/54oMZ3blwWwuPN4wEoG5mk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk', 'duration_ms': 214139, 'time_signature': 4}",54oMZ3blwWwuPN4wEoG5mk,0.899,0.592,11,-7.901,0,0.333,0.263,0.0,0.0831,0.504,149.953,214139,4
45,"{'danceability': 0.755, 'energy': 0.448, 'key': 7, 'loudness': -9.587, 'mode': 1, 'speechiness': 0.107, 'acousticness': 0.0283, 'instrumentalness': 3.28e-05, 'liveness': 0.514, 'valence': 0.318, 'tempo': 77.179, 'type': 'audio_features', 'id': '6T8cJz5lAqGer9GUHGyelE', 'uri': 'spotify:track:6T8cJz5lAqGer9GUHGyelE', 'track_href': 'https://api.spotify.com/v1/tracks/6T8cJz5lAqGer9GUHGyelE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6T8cJz5lAqGer9GUHGyelE', 'duration_ms': 198960, 'time_signature': 4}",6T8cJz5lAqGer9GUHGyelE,0.755,0.448,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179,198960,4
46,"{'danceability': 0.909, 'energy': 0.405, 'key': 6, 'loudness': -8.133, 'mode': 0, 'speechiness': 0.14, 'acousticness': 0.0306, 'instrumentalness': 0.00698, 'liveness': 0.105, 'valence': 0.455, 'tempo': 154.984, 'type': 'audio_features', 'id': '2Vx8E3K5icPZR7OCklWBXX', 'uri': 'spotify:track:2Vx8E3K5icPZR7OCklWBXX', 'track_href': 'https://api.spotify.com/v1/tracks/2Vx8E3K5icPZR7OCklWBXX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Vx8E3K5icPZR7OCklWBXX', 'duration_ms': 238613, 'time_signature': 4}",2Vx8E3K5icPZR7OCklWBXX,0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4
47,"{'danceability': 0.685, 'energy': 0.593, 'key': 9, 'loudness': -9.083, 'mode': 0, 'speechiness': 0.284, 'acousticness': 0.134, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.144, 'tempo': 84.763, 'type': 'audio_features', 'id': '71SEHJPt1iDwGkBhUOAXDP', 'uri': 'spotify:track:71SEHJPt1iDwGkBhUOAXDP', 'track_href': 'https://api.spotify.com/v1/tracks/71SEHJPt1iDwGkBhUOAXDP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/71SEHJPt1iDwGkBhUOAXDP', 'duration_ms': 136187, 'time_signature': 4}",71SEHJPt1iDwGkBhUOAXDP,0.685,0.593,9,-9.083,0,0.284,0.134,0.0,0.123,0.144,84.763,136187,4
48,"{'danceability': 0.413, 'energy': 0.676, 'key': 1, 'loudness': -5.124, 'mode': 1, 'speechiness': 0.213, 'acousticness': 0.0239, 'instrumentalness': 0, 'liveness': 0.0811, 'valence': 0.0827, 'tempo': 173.478, 'type': 'audio_features', 'id': '1v1IXPXl73Z7zy6f5tUa9n', 'uri': 'spotify:track:1v1IXPXl73Z7zy6f5tUa9n', 'track_href': 'https://api.spotify.com/v1/tracks/1v1IXPXl73Z7zy6f5tUa9n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1v1IXPXl73Z7zy6f5tUa9n', 'duration_ms': 302173, 'time_signature': 4}",1v1IXPXl73Z7zy6f5tUa9n,0.413,0.676,1,-5.124,1,0.213,0.0239,0.0,0.0811,0.0827,173.478,302173,4
49,"{'danceability': 0.755, 'energy': 0.47, 'key': 1, 'loudness': -8.72, 'mode': 1, 'speechiness': 0.139, 'acousticness': 0.0153, 'instrumentalness': 0, 'liveness': 0.118, 'valence': 0.0604, 'tempo': 76.056, 'type': 'audio_features', 'id': '4uloft7ZE54WflsuqFmjC7', 'uri': 'spotify:track:4uloft7ZE54WflsuqFmjC7', 'track_href': 'https://api.spotify.com/v1/tracks/4uloft7ZE54WflsuqFmjC7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4uloft7ZE54WflsuqFmjC7', 'duration_ms': 184960, 'time_signature': 4}",4uloft7ZE54WflsuqFmjC7,0.755,0.47,1,-8.72,1,0.139,0.0153,0.0,0.118,0.0604,76.056,184960,4
50,"{'danceability': 0.534, 'energy': 0.684, 'key': 11, 'loudness': -7.874, 'mode': 0, 'speechiness': 0.717, 'acousticness': 0.164, 'instrumentalness': 0, 'liveness': 0.499, 'valence': 0.338, 'tempo': 170.416, 'type': 'audio_features', 'id': '5fcM0StdQxMjzulVGhFkHN', 'uri': 'spotify:track:5fcM0StdQxMjzulVGhFkHN', 'track_href': 'https://api.spotify.com/v1/tracks/5fcM0StdQxMjzulVGhFkHN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fcM0StdQxMjzulVGhFkHN', 'duration_ms': 195720, 'time_signature': 4}",5fcM0StdQxMjzulVGhFkHN,0.534,0.684,11,-7.874,0,0.717,0.164,0.0,0.499,0.338,170.416,195720,4
51,"{'danceability': 0.899, 'energy': 0.587, 'key': 11, 'loudness': -7.866, 'mode': 0, 'speechiness': 0.338, 'acousticness': 0.279, 'instrumentalness': 0, 'liveness': 0.0835, 'valence': 0.49, 'tempo': 149.993, 'type': 'audio_features', 'id': '1iSZPndzmY6NvL1jAtIvY1', 'uri': 'spotify:track:1iSZPndzmY6NvL1jAtIvY1', 'track_href': 'https://api.spotify.com/v1/tracks/1iSZPndzmY6NvL1jAtIvY1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1iSZPndzmY6NvL1jAtIvY1', 'duration_ms': 214467, 'time_signature': 4}",1iSZPndzmY6NvL1jAtIvY1,0.899,0.587,11,-7.866,0,0.338,0.279,0.0,0.0835,0.49,149.993,214467,4
52,"{'danceability': 0.755, 'energy': 0.575, 'key': 4, 'loudness': -8.392, 'mode': 0, 'speechiness': 0.0673, 'acousticness': 0.0443, 'instrumentalness': 0.00127, 'liveness': 0.276, 'valence': 0.493, 'tempo': 85.994, 'type': 'audio_features', 'id': '7txPE73wHbuXYkM1h8zNrG', 'uri': 'spotify:track:7txPE73wHbuXYkM1h8zNrG', 'track_href': 'https://api.spotify.com/v1/tracks/7txPE73wHbuXYkM1h8zNrG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7txPE73wHbuXYkM1h8zNrG', 'duration_ms': 205147, 'time_signature': 4}",7txPE73wHbuXYkM1h8zNrG,0.755,0.575,4,-8.392,0,0.0673,0.0443,0.00127,0.276,0.493,85.994,205147,4
53,"{'danceability': 0.759, 'energy': 0.479, 'key': 11, 'loudness': -10.65, 'mode': 1, 'speechiness': 0.186, 'acousticness': 0.0039, 'instrumentalness': 5.3e-06, 'liveness': 0.302, 'valence': 0.347, 'tempo': 140.089, 'type': 'audio_features', 'id': '3Yw09dj3cTXsAzlLjgBfIP', 'uri': 'spotify:track:3Yw09dj3cTXsAzlLjgBfIP', 'track_href': 'https://api.spotify.com/v1/tracks/3Yw09dj3cTXsAzlLjgBfIP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Yw09dj3cTXsAzlLjgBfIP', 'duration_ms': 195813, 'time_signature': 4}",3Yw09dj3cTXsAzlLjgBfIP,0.759,0.479,11,-10.65,1,0.186,0.0039,5.3e-06,0.302,0.347,140.089,195813,4
54,"{'danceability': 0.878, 'energy': 0.432, 'key': 10, 'loudness': -9.852, 'mode': 0, 'speechiness': 0.143, 'acousticness': 0.041, 'instrumentalness': 0, 'liveness': 0.0571, 'valence': 0.441, 'tempo': 86.956, 'type': 'audio_features', 'id': '7cfvP13Bqb1EyCZQiYsLum', 'uri': 'spotify:track:7cfvP13Bqb1EyCZQiYsLum', 'track_href': 'https://api.spotify.com/v1/tracks/7cfvP13Bqb1EyCZQiYsLum', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7cfvP13Bqb1EyCZQiYsLum', 'duration_ms': 163973, 'time_signature': 4}",7cfvP13Bqb1EyCZQiYsLum,0.878,0.432,10,-9.852,0,0.143,0.041,0.0,0.0571,0.441,86.956,163973,4
55,"{'danceability': 0.825, 'energy': 0.317, 'key': 10, 'loudness': -12.39, 'mode': 1, 'speechiness': 0.0583, 'acousticness': 0.497, 'instrumentalness': 0.0128, 'liveness': 0.11, 'valence': 0.136, 'tempo': 103.001, 'type': 'audio_features', 'id': '36ONiya0OANYknz0GgJmwB', 'uri': 'spotify:track:36ONiya0OANYknz0GgJmwB', 'track_href': 'https://api.spotify.com/v1/tracks/36ONiya0OANYknz0GgJmwB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/36ONiya0OANYknz0GgJmwB', 'duration_ms': 245787, 'time_signature': 4}",36ONiya0OANYknz0GgJmwB,0.825,0.317,10,-12.39,1,0.0583,0.497,0.0128,0.11,0.136,103.001,245787,4
56,"{'danceability': 0.754, 'energy': 0.449, 'key': 7, 'loudness': -9.212, 'mode': 1, 'speechiness': 0.108, 'acousticness': 0.0329, 'instrumentalness': 7.84e-05, 'liveness': 0.55, 'valence': 0.35, 'tempo': 77.167, 'type': 'audio_features', 'id': '2VWbHHhWnMzKWPUs4IEEW9', 'uri': 'spotify:track:2VWbHHhWnMzKWPUs4IEEW9', 'track_href': 'https://api.spotify.com/v1/tracks/2VWbHHhWnMzKWPUs4IEEW9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2VWbHHhWnMzKWPUs4IEEW9', 'duration_ms': 198973, 'time_signature': 4}",2VWbHHhWnMzKWPUs4IEEW9,0.754,0.449,7,-9.212,1,0.108,0.0329,7.84e-05,0.55,0.35,77.167,198973,4
57,"{'danceability': 0.487, 'energy': 0.85, 'key': 1, 'loudness': -5.427, 'mode': 1, 'speechiness': 0.25, 'acousticness': 0.047, 'instrumentalness': 0, 'liveness': 0.142, 'valence': 0.523, 'tempo': 152.102, 'type': 'audio_features', 'id': '1sPLURKAosM3Jampgp9AWq', 'uri': 'spotify:track:1sPLURKAosM3Jampgp9AWq', 'track_href': 'https://api.spotify.com/v1/tracks/1sPLURKAosM3Jampgp9AWq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1sPLURKAosM3Jampgp9AWq', 'duration_ms': 216333, 'time_signature': 4}",1sPLURKAosM3Jampgp9AWq,0.487,0.85,1,-5.427,1,0.25,0.047,0.0,0.142,0.523,152.102,216333,4
58,"{'danceability': 0.7, 'energy': 0.909, 'key': 8, 'loudness': -6.461, 'mode': 1, 'speechiness': 0.0628, 'acousticness': 0.0884, 'instrumentalness': 0.000114, 'liveness': 0.0778, 'valence': 0.757, 'tempo': 93.469, 'type': 'audio_features', 'id': '0HVv5bEOiI9a0QfgcASXpX', 'uri': 'spotify:track:0HVv5bEOiI9a0QfgcASXpX', 'track_href': 'https://api.spotify.com/v1/tracks/0HVv5bEOiI9a0QfgcASXpX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HVv5bEOiI9a0QfgcASXpX', 'duration_ms': 210747, 'time_signature': 4}",0HVv5bEOiI9a0QfgcASXpX,0.7,0.909,8,-6.461,1,0.0628,0.0884,0.000114,0.0778,0.757,93.469,210747,4
59,"{'danceability': 0.636, 'energy': 0.538, 'key': 1, 'loudness': -7.725, 'mode': 1, 'speechiness': 0.312, 'acousticness': 0.738, 'instrumentalness': 0, 'liveness': 0.149, 'valence': 0.514, 'tempo': 83.508, 'type': 'audio_features', 'id': '2QoOyCFpDo4NblMLP7vBRT', 'uri': 'spotify:track:2QoOyCFpDo4NblMLP7vBRT', 'track_href': 'https://api.spotify.com/v1/tracks/2QoOyCFpDo4NblMLP7vBRT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2QoOyCFpDo4NblMLP7vBRT', 'duration_ms': 226920, 'time_signature': 4}",2QoOyCFpDo4NblMLP7vBRT,0.636,0.538,1,-7.725,1,0.312,0.738,0.0,0.149,0.514,83.508,226920,4
60,"{'danceability': 0.735, 'energy': 0.482, 'key': 8, 'loudness': -9.445, 'mode': 1, 'speechiness': 0.139, 'acousticness': 0.00623, 'instrumentalness': 0.0144, 'liveness': 0.448, 'valence': 0.315, 'tempo': 181.995, 'type': 'audio_features', 'id': '0bAkKNCQfWkexHFn7fIKns', 'uri': 'spotify:track:0bAkKNCQfWkexHFn7fIKns', 'track_href': 'https://api.spotify.com/v1/tracks/0bAkKNCQfWkexHFn7fIKns', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0bAkKNCQfWkexHFn7fIKns', 'duration_ms': 217933, 'time_signature': 4}",0bAkKNCQfWkexHFn7fIKns,0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,217933,4
61,"{'danceability': 0.776, 'energy': 0.482, 'key': 1, 'loudness': -11.268, 'mode': 1, 'speechiness': 0.0356, 'acousticness': 0.481, 'instrumentalness': 0.0457, 'liveness': 0.11, 'valence': 0.128, 'tempo': 136.015, 'type': 'audio_features', 'id': '0w1ZtnzQmtmuuoKxHT0pLL', 'uri': 'spotify:track:0w1ZtnzQmtmuuoKxHT0pLL', 'track_href': 'https://api.spotify.com/v1/tracks/0w1ZtnzQmtmuuoKxHT0pLL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0w1ZtnzQmtmuuoKxHT0pLL', 'duration_ms': 247893, 'time_signature': 4}",0w1ZtnzQmtmuuoKxHT0pLL,0.776,0.482,1,-11.268,1,0.0356,0.481,0.0457,0.11,0.128,136.015,247893,4
62,"{'danceability': 0.689, 'energy': 0.217, 'key': 9, 'loudness': -13.539, 'mode': 0, 'speechiness': 0.0387, 'acousticness': 0.847, 'instrumentalness': 0.000123, 'liveness': 0.106, 'valence': 0.272, 'tempo': 92.007, 'type': 'audio_features', 'id': '2RAeY8dPj6KmStROfEigjV', 'uri': 'spotify:track:2RAeY8dPj6KmStROfEigjV', 'track_href': 'https://api.spotify.com/v1/tracks/2RAeY8dPj6KmStROfEigjV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2RAeY8dPj6KmStROfEigjV', 'duration_ms': 206027, 'time_signature': 4}",2RAeY8dPj6KmStROfEigjV,0.689,0.217,9,-13.539,0,0.0387,0.847,0.000123,0.106,0.272,92.007,206027,4
63,"{'danceability': 0.766, 'energy': 0.272, 'key': 0, 'loudness': -5.696, 'mode': 1, 'speechiness': 0.041, 'acousticness': 0.0366, 'instrumentalness': 0, 'liveness': 0.175, 'valence': 0.037, 'tempo': 116.036, 'type': 'audio_features', 'id': '3jipFRgLyKK0oJoG1pKicx', 'uri': 'spotify:track:3jipFRgLyKK0oJoG1pKicx', 'track_href': 'https://api.spotify.com/v1/tracks/3jipFRgLyKK0oJoG1pKicx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3jipFRgLyKK0oJoG1pKicx', 'duration_ms': 262453, 'time_signature': 4}",3jipFRgLyKK0oJoG1pKicx,0.766,0.272,0,-5.696,1,0.041,0.0366,0.0,0.175,0.037,116.036,262453,4
64,"{'danceability': 0.807, 'energy': 0.321, 'key': 0, 'loudness': -8.147, 'mode': 0, 'speechiness': 0.0571, 'acousticness': 0.132, 'instrumentalness': 0.000289, 'liveness': 0.1, 'valence': 0.305, 'tempo': 94.994, 'type': 'audio_features', 'id': '590bUp2TKTfTS9NfiD4Nmn', 'uri': 'spotify:track:590bUp2TKTfTS9NfiD4Nmn', 'track_href': 'https://api.spotify.com/v1/tracks/590bUp2TKTfTS9NfiD4Nmn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/590bUp2TKTfTS9NfiD4Nmn', 'duration_ms': 182080, 'time_signature': 4}",590bUp2TKTfTS9NfiD4Nmn,0.807,0.321,0,-8.147,0,0.0571,0.132,0.000289,0.1,0.305,94.994,182080,4
65,"{'danceability': 0.888, 'energy': 0.377, 'key': 7, 'loudness': -10.142, 'mode': 0, 'speechiness': 0.339, 'acousticness': 0.0126, 'instrumentalness': 0, 'liveness': 0.19, 'valence': 0.126, 'tempo': 133.996, 'type': 'audio_features', 'id': '1Jrj3k5L36dPkU6KAclU7g', 'uri': 'spotify:track:1Jrj3k5L36dPkU6KAclU7g', 'track_href': 'https://api.spotify.com/v1/tracks/1Jrj3k5L36dPkU6KAclU7g', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Jrj3k5L36dPkU6KAclU7g', 'duration_ms': 162800, 'time_signature': 4}",1Jrj3k5L36dPkU6KAclU7g,0.888,0.377,7,-10.142,0,0.339,0.0126,0.0,0.19,0.126,133.996,162800,4
66,"{'danceability': 0.81, 'energy': 0.451, 'key': 10, 'loudness': -6.348, 'mode': 0, 'speechiness': 0.249, 'acousticness': 0.152, 'instrumentalness': 0.0537, 'liveness': 0.108, 'valence': 0.359, 'tempo': 85.417, 'type': 'audio_features', 'id': '0SVsEdvot6vU4byv5yW0oj', 'uri': 'spotify:track:0SVsEdvot6vU4byv5yW0oj', 'track_href': 'https://api.spotify.com/v1/tracks/0SVsEdvot6vU4byv5yW0oj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SVsEdvot6vU4byv5yW0oj', 'duration_ms': 157600, 'time_signature': 4}",0SVsEdvot6vU4byv5yW0oj,0.81,0.451,10,-6.348,0,0.249,0.152,0.0537,0.108,0.359,85.417,157600,4
67,"{'danceability': 0.648, 'energy': 0.535, 'key': 2, 'loudness': -13.295, 'mode': 1, 'speechiness': 0.1, 'acousticness': 0.458, 'instrumentalness': 0.00246, 'liveness': 0.106, 'valence': 0.444, 'tempo': 168.03, 'type': 'audio_features', 'id': '16x6tqeSkIjoLEf7SJLlYy', 'uri': 'spotify:track:16x6tqeSkIjoLEf7SJLlYy', 'track_href': 'https://api.spotify.com/v1/tracks/16x6tqeSkIjoLEf7SJLlYy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/16x6tqeSkIjoLEf7SJLlYy', 'duration_ms': 207307, 'time_signature': 4}",16x6tqeSkIjoLEf7SJLlYy,0.648,0.535,2,-13.295,1,0.1,0.458,0.00246,0.106,0.444,168.03,207307,4
