,Audio Features Obj,Internal Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10,"{'danceability': 0.809, 'energy': 0.463, 'key': 11, 'loudness': -11.377, 'mode': 1, 'speechiness': 0.0396, 'acousticness': 0.256, 'instrumentalness': 0.085, 'liveness': 0.109, 'valence': 0.364, 'tempo': 111.98, 'type': 'audio_features', 'id': '7hDc8b7IXETo14hHIHdnhd', 'uri': 'spotify:track:7hDc8b7IXETo14hHIHdnhd', 'track_href': 'https://api.spotify.com/v1/tracks/7hDc8b7IXETo14hHIHdnhd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hDc8b7IXETo14hHIHdnhd', 'duration_ms': 298941, 'time_signature': 4}",7hDc8b7IXETo14hHIHdnhd,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
11,"{'danceability': 0.736, 'energy': 0.491, 'key': 10, 'loudness': -6.892, 'mode': 0, 'speechiness': 0.439, 'acousticness': 0.0681, 'instrumentalness': 0, 'liveness': 0.571, 'valence': 0.203, 'tempo': 141.979, 'type': 'audio_features', 'id': '05KOgYg8PGeJyyWBPi5ja8', 'uri': 'spotify:track:05KOgYg8PGeJyyWBPi5ja8', 'track_href': 'https://api.spotify.com/v1/tracks/05KOgYg8PGeJyyWBPi5ja8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/05KOgYg8PGeJyyWBPi5ja8', 'duration_ms': 218674, 'time_signature': 4}",05KOgYg8PGeJyyWBPi5ja8,0.736,0.491,10,-6.892,0,0.439,0.0681,0.0,0.571,0.203,141.979,218674,4
12,"{'danceability': 0.925, 'energy': 0.443, 'key': 1, 'loudness': -8.216, 'mode': 1, 'speechiness': 0.264, 'acousticness': 0.0172, 'instrumentalness': 0, 'liveness': 0.276, 'valence': 0.35, 'tempo': 136.078, 'type': 'audio_features', 'id': '2bjwRfXMk4uRgOD9IBYl9h', 'uri': 'spotify:track:2bjwRfXMk4uRgOD9IBYl9h', 'track_href': 'https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h', 'duration_ms': 236615, 'time_signature': 4}",2bjwRfXMk4uRgOD9IBYl9h,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,236615,4
13,"{'danceability': 0.913, 'energy': 0.608, 'key': 10, 'loudness': -6.839, 'mode': 0, 'speechiness': 0.234, 'acousticness': 0.0671, 'instrumentalness': 0, 'liveness': 0.533, 'valence': 0.578, 'tempo': 97.063, 'type': 'audio_features', 'id': '6CfrYuD3YRDYdYvH9jNtXY', 'uri': 'spotify:track:6CfrYuD3YRDYdYvH9jNtXY', 'track_href': 'https://api.spotify.com/v1/tracks/6CfrYuD3YRDYdYvH9jNtXY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CfrYuD3YRDYdYvH9jNtXY', 'duration_ms': 149569, 'time_signature': 4}",6CfrYuD3YRDYdYvH9jNtXY,0.913,0.608,10,-6.839,0,0.234,0.0671,0.0,0.533,0.578,97.063,149569,4
14,"{'danceability': 0.877, 'energy': 0.391, 'key': 1, 'loudness': -8.196, 'mode': 1, 'speechiness': 0.063, 'acousticness': 0.0317, 'instrumentalness': 0.000502, 'liveness': 0.0945, 'valence': 0.122, 'tempo': 131.018, 'type': 'audio_features', 'id': '6UjfByV1lDLW0SOVQA4NAi', 'uri': 'spotify:track:6UjfByV1lDLW0SOVQA4NAi', 'track_href': 'https://api.spotify.com/v1/tracks/6UjfByV1lDLW0SOVQA4NAi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6UjfByV1lDLW0SOVQA4NAi', 'duration_ms': 189230, 'time_signature': 4}",6UjfByV1lDLW0SOVQA4NAi,0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,189230,4
15,"{'danceability': 0.903, 'energy': 0.439, 'key': 8, 'loudness': -11.813, 'mode': 1, 'speechiness': 0.397, 'acousticness': 0.0407, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.532, 'tempo': 139.112, 'type': 'audio_features', 'id': '0xl1w2q4VLojeXp4JfazPL', 'uri': 'spotify:track:0xl1w2q4VLojeXp4JfazPL', 'track_href': 'https://api.spotify.com/v1/tracks/0xl1w2q4VLojeXp4JfazPL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0xl1w2q4VLojeXp4JfazPL', 'duration_ms': 307593, 'time_signature': 4}",0xl1w2q4VLojeXp4JfazPL,0.903,0.439,8,-11.813,1,0.397,0.0407,0.0,0.138,0.532,139.112,307593,4
16,"{'danceability': 0.726, 'energy': 0.535, 'key': 7, 'loudness': -7.804, 'mode': 0, 'speechiness': 0.0476, 'acousticness': 0.0533, 'instrumentalness': 1.38e-05, 'liveness': 0.0984, 'valence': 0.375, 'tempo': 98.067, 'type': 'audio_features', 'id': '2XlHu0HcujBCkWMdIAvrqt', 'uri': 'spotify:track:2XlHu0HcujBCkWMdIAvrqt', 'track_href': 'https://api.spotify.com/v1/tracks/2XlHu0HcujBCkWMdIAvrqt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2XlHu0HcujBCkWMdIAvrqt', 'duration_ms': 216558, 'time_signature': 4}",2XlHu0HcujBCkWMdIAvrqt,0.726,0.535,7,-7.804,0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067,216558,4
17,"{'danceability': 0.781, 'energy': 0.721, 'key': 5, 'loudness': -9.133, 'mode': 0, 'speechiness': 0.0514, 'acousticness': 0.0945, 'instrumentalness': 0.391, 'liveness': 0.104, 'valence': 0.849, 'tempo': 123.011, 'type': 'audio_features', 'id': '7y6c07pgjZvtHI9kuMVqk1', 'uri': 'spotify:track:7y6c07pgjZvtHI9kuMVqk1', 'track_href': 'https://api.spotify.com/v1/tracks/7y6c07pgjZvtHI9kuMVqk1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7y6c07pgjZvtHI9kuMVqk1', 'duration_ms': 250337, 'time_signature': 4}",7y6c07pgjZvtHI9kuMVqk1,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,250337,4
18,"{'danceability': 0.735, 'energy': 0.373, 'key': 11, 'loudness': -10.478, 'mode': 1, 'speechiness': 0.104, 'acousticness': 0.762, 'instrumentalness': 0.00202, 'liveness': 0.288, 'valence': 0.237, 'tempo': 123.081, 'type': 'audio_features', 'id': '13e6f8t7RKXuxZ0JdaaJRG', 'uri': 'spotify:track:13e6f8t7RKXuxZ0JdaaJRG', 'track_href': 'https://api.spotify.com/v1/tracks/13e6f8t7RKXuxZ0JdaaJRG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/13e6f8t7RKXuxZ0JdaaJRG', 'duration_ms': 107673, 'time_signature': 4}",13e6f8t7RKXuxZ0JdaaJRG,0.735,0.373,11,-10.478,1,0.104,0.762,0.00202,0.288,0.237,123.081,107673,4
19,"{'danceability': 0.61, 'energy': 0.229, 'key': 11, 'loudness': -12.36, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.558, 'instrumentalness': 0.0413, 'liveness': 0.113, 'valence': 0.19, 'tempo': 111.887, 'type': 'audio_features', 'id': '2fkeWbM6iqTw7oGHTYm2lw', 'uri': 'spotify:track:2fkeWbM6iqTw7oGHTYm2lw', 'track_href': 'https://api.spotify.com/v1/tracks/2fkeWbM6iqTw7oGHTYm2lw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2fkeWbM6iqTw7oGHTYm2lw', 'duration_ms': 186293, 'time_signature': 4}",2fkeWbM6iqTw7oGHTYm2lw,0.61,0.229,11,-12.36,0,0.0333,0.558,0.0413,0.113,0.19,111.887,186293,4
20,"{'danceability': 0.875, 'energy': 0.6, 'key': 1, 'loudness': -6.818, 'mode': 1, 'speechiness': 0.0435, 'acousticness': 0.0189, 'instrumentalness': 0.0143, 'liveness': 0.132, 'valence': 0.0906, 'tempo': 119.987, 'type': 'audio_features', 'id': '2jTujnt0y344ai1rNOywgr', 'uri': 'spotify:track:2jTujnt0y344ai1rNOywgr', 'track_href': 'https://api.spotify.com/v1/tracks/2jTujnt0y344ai1rNOywgr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2jTujnt0y344ai1rNOywgr', 'duration_ms': 162638, 'time_signature': 4}",2jTujnt0y344ai1rNOywgr,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.987,162638,4
21,"{'danceability': 0.839, 'energy': 0.521, 'key': 7, 'loudness': -10.45, 'mode': 1, 'speechiness': 0.166, 'acousticness': 0.245, 'instrumentalness': 0.00545, 'liveness': 0.607, 'valence': 0.33, 'tempo': 105.992, 'type': 'audio_features', 'id': '76gUmNLXGQVOsGhfcshkFP', 'uri': 'spotify:track:76gUmNLXGQVOsGhfcshkFP', 'track_href': 'https://api.spotify.com/v1/tracks/76gUmNLXGQVOsGhfcshkFP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/76gUmNLXGQVOsGhfcshkFP', 'duration_ms': 205163, 'time_signature': 4}",76gUmNLXGQVOsGhfcshkFP,0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992,205163,4
