,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2018-06-20,1,Flat,SAD!,XXXTENTACION,7872837,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
1,2018-06-20,2,Flat,Jocelyn Flores,XXXTENTACION,5731425,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
2,2018-06-20,3,Flat,Moonlight,XXXTENTACION,5385464,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
3,2018-06-20,4,Flat,changes,XXXTENTACION,4882475,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
4,2018-06-20,5,Up,Better Now,Post Malone,4073703,https://i.scdn.co/image/4eeab79394ac6dd1d58132e9cecc5d6ba61b9ca1,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,2018-06-20,6,Down,Fuck Love (feat. Trippie Redd),XXXTENTACION,3841685,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
6,2018-06-20,7,Up,Lucid Dreams,Juice WRLD,3833481,https://i.scdn.co/image/ab67616d000048519b3d16ce73080214dd7b07c7,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,2018-06-20,8,Up,Girls Like You (feat. Cardi B),Maroon 5,3784435,https://i.scdn.co/image/713dd96693d1706e93f98854598ef52db28090a6,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
8,2018-06-20,9,Up,One Kiss (with Dua Lipa),Calvin Harris,3660167,https://i.scdn.co/image/ab67616d00004851d09f96d82310d4d77c14c108,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
9,2018-06-20,10,Up,I Like It,Cardi B,3615018,https://i.scdn.co/image/ab67616d00004851a0caffda54afd0a65995bbab,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,2018-06-20,11,Down,Everybody Dies In Their Nightmares,XXXTENTACION,3314515,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
11,2018-06-20,12,Down,the remedy for a broken heart (why am I so in love),XXXTENTACION,3244141,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
12,2018-06-20,13,Flat,Back To You,Selena Gomez,3200205,https://i.scdn.co/image/ef44ad12b8210abac74b82ffabfeb3e02453efc9,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
13,2018-06-20,14,Flat,Youngblood,5 Seconds of Summer,3172831,https://i.scdn.co/image/ab67616d0000485141aa6776dc15fbd71a2b4557,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
14,2018-06-20,15,Up,no tears left to cry,Ariana Grande,3087124,https://i.scdn.co/image/ab67616d0000485165d28ba9f50b2eba46ffc55c,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
15,2018-06-20,16,Up,Solo (feat. Demi Lovato),Clean Bandit,3020420,https://i.scdn.co/image/ab67616d0000485167eda217860e86c43481a5cb,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
16,2018-06-20,17,Up,Te Boté - Remix,Nio Garcia,2520943,https://i.scdn.co/image/ab67616d00004851a5779a2f04a513fac2fd1d15,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
17,2018-06-20,18,Up,Nice For What,Drake,2512337,https://i.scdn.co/image/ab67616d00004851648ee7f5b11d8703447e372f,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
18,2018-06-20,19,Up,Taste (feat. Offset),Tyga,2486946,https://i.scdn.co/image/ab67616d00004851a4d73b32e40487605c73cffe,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,2018-06-20,20,Up,X,Nicky Jam,2440462,https://i.scdn.co/image/ab67616d0000485126ddcc42228a649e5fbe4350,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
20,2018-06-20,21,Up,Jackie Chan,Tiësto,2388358,https://i.scdn.co/image/e9e2398edb37fea2cd604cf6db3bf830fe9ae8e5,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
21,2018-06-20,22,Up,God's Plan,Drake,2356343,https://i.scdn.co/image/ab67616d00004851689b62c26ee70aa450cae449,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE
22,2018-06-20,23,Down,NUMB,XXXTENTACION,2267055,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
23,2018-06-20,24,Up,Psycho (feat. Ty Dolla $ign),Post Malone,2198311,https://i.scdn.co/image/4eeab79394ac6dd1d58132e9cecc5d6ba61b9ca1,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
24,2018-06-20,25,Down,Hope,XXXTENTACION,2189848,https://i.scdn.co/image/f0443f8ad743f6052c813c593f1ad0fc161965a2,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
25,2018-06-20,26,Up,Ocean (feat. Khalid),Martin Garrix,2172140,https://i.scdn.co/image/ab67616d00004851b800b91af812df0ce0dd2883,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
26,2018-06-20,27,Up,All Mine,Kanye West,2148517,https://i.scdn.co/image/ab67616d0000485197508a4b756763370510bd44,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
27,2018-06-20,28,Up,lovely (with Khalid),Billie Eilish,2071264,https://i.scdn.co/image/9d95ac9d573809e324fff0bedba2fe207770be69,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
28,2018-06-20,29,Up,I'm Upset,Drake,2045118,https://i.scdn.co/image/ab67616d00004851e8a06a40df4bc43b21c656c9,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
29,2018-06-20,30,Down,Look At Me!,XXXTENTACION,1997139,https://i.scdn.co/image/ab67616d000048515485ea186d6971e18fabcc2f,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
30,2018-06-20,31,Up,Bed (feat. Ariana Grande),Nicki Minaj,1977215,https://i.scdn.co/image/ab67616d00004851c18e23ba6e8a2c56a41b8c1d,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
