,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-10-08,1,Flat,HIGHEST IN THE ROOM,Travis Scott,6213697,https://i.scdn.co/image/3a6a1ddb77d5886cd77768734bdca254aba7cf8b,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
1,2019-10-08,2,Flat,Dance Monkey,Tones and I,5214237,https://i.scdn.co/image/ab67616d0000485138802659d156935ada63c9e3,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,2019-10-08,3,Flat,Señorita,Shawn Mendes,4523337,https://i.scdn.co/image/b68c52237ed6815023eb6e62ab93e380c04611a6,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,2019-10-08,4,Flat,Circles,Post Malone,4332259,https://i.scdn.co/image/a7f2cc3d9b653ac116a3666cc3aaf01880aab8bd,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,2019-10-08,5,Flat,"10,000 Hours (with Justin Bieber)",Dan + Shay,3541156,https://i.scdn.co/image/80e562ef5d7b69e306ad7be6923f83905293ccac,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
5,2019-10-08,6,Flat,Someone You Loved,Lewis Capaldi,3329831,https://i.scdn.co/image/d2a8a81991aa1c638f7fdaa8a27937b346fad771,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,2019-10-08,7,Flat,Beautiful People (feat. Khalid),Ed Sheeran,2978913,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
7,2019-10-08,8,Up,How Do You Sleep?,Sam Smith,2763636,https://i.scdn.co/image/52466230e99f77d0cbca479737e333d09e8a9749,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
8,2019-10-08,9,Up,Memories,Maroon 5,2743868,https://i.scdn.co/image/4924a6ec0e2ae08bf7c74de14269918e71fc0d29,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,2019-10-08,10,Down,Lalala,Y2K,2718863,https://i.scdn.co/image/ab67616d000048518a6ccb507dd6a66f7f6e2440,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
10,2019-10-08,11,Flat,China,Anuel AA,2622767,https://i.scdn.co/image/ab67616d000048515fa6dc9fc261344044c301a9,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,2019-10-08,12,Flat,Goodbyes (Feat. Young Thug),Post Malone,2557188,https://i.scdn.co/image/ab67616d000048513f154c97dfa06ee696bd687c,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
12,2019-10-08,13,Flat,bad guy,Billie Eilish,2529630,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,2019-10-08,14,Flat,hot girl bummer,blackbear,2446321,https://i.scdn.co/image/fadd7552af0779e4482d253b740def73786de682,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
14,2019-10-08,15,Flat,Ransom,Lil Tecca,2419450,https://i.scdn.co/image/53e0b1d0cec445e5edec68be68b2e8852069ca5e,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
15,2019-10-08,16,Flat,I Don't Care (with Justin Bieber),Ed Sheeran,2347646,https://i.scdn.co/image/ab67616d00004851a53a148d92ce7afa20229e49,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
16,2019-10-08,17,Flat,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2152347,https://i.scdn.co/image/5ed52bb180bccf1adc98c1766ec13ca8d82325c5,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
17,2019-10-08,18,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2095389,https://i.scdn.co/image/a7f2cc3d9b653ac116a3666cc3aaf01880aab8bd,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
18,2019-10-08,19,Flat,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,2048164,https://i.scdn.co/image/ed4ff313eb7e0318cff2d2be4c892d6227277588,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
19,2019-10-08,20,Flat,Panini,Lil Nas X,2026450,https://i.scdn.co/image/632f1147e2b86acb948d2949a0f541e02ca06fe2,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
20,2019-10-08,21,Flat,Saint-Tropez,Post Malone,2013927,https://i.scdn.co/image/a7f2cc3d9b653ac116a3666cc3aaf01880aab8bd,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
21,2019-10-08,22,Flat,Truth Hurts,Lizzo,1942869,https://i.scdn.co/image/ab67616d000048514d51081892dbe3f1ddf28914,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
22,2019-10-08,23,Flat,Liar,Camila Cabello,1883810,https://i.scdn.co/image/c873cd228578880fcb768b5d820b9656b5116b87,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
23,2019-10-08,24,Flat,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,1869834,https://i.scdn.co/image/a7f2cc3d9b653ac116a3666cc3aaf01880aab8bd,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
24,2019-10-08,25,Flat,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,1807806,https://i.scdn.co/image/0f682cfc23a23509181d78d0e31088e6107928e2,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
25,2019-10-08,26,Up,Graveyard,Halsey,1773660,https://i.scdn.co/image/a433dcaa55e8715dd7450275f1a3817ba8d495c8,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
26,2019-10-08,27,Flat,Adicto (with Anuel AA & Ozuna),Tainy,1771080,https://i.scdn.co/image/cf7a68db70735b2ce74dfedbf2c2792acc63a6a8,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
27,2019-10-08,28,Down,Callaita,Bad Bunny,1769873,https://i.scdn.co/image/25c85118c4a9a96f160407d4ef9c82bfe175c58f,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
28,2019-10-08,29,Flat,Ride It,Regard,1745466,https://i.scdn.co/image/ab67616d000048515c27813ae019011fcb370c78,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
29,2019-10-08,30,Flat,No Guidance (feat. Drake),Chris Brown,1728490,https://i.scdn.co/image/ab67616d000048519e588b0c2afe8178b2b76231,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
30,2019-10-08,31,Up,No Me Conoce - Remix,Jhay Cortez,1692735,https://i.scdn.co/image/7c1abc03d7ec0746cea67364305bb40587b542ab,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,2019-10-08,32,Up,LA CANCIÓN,J Balvin,1684977,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
32,2019-10-08,33,Down,Old Town Road - Remix,Lil Nas X,1680628,https://i.scdn.co/image/ab67616d00004851c0e7bf5cdd630f314f20586a,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
33,2019-10-08,34,Up,Tutu,Camilo,1627463,https://i.scdn.co/image/ab67616d00004851f748b7d038bc70dfba593fdd,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
34,2019-10-08,35,Down,223's (feat. 9lokknine),YNW Melly,1605554,https://i.scdn.co/image/ab67616d000048514f8e760781e8e0e68662d8e9,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
35,2019-10-08,36,Flat,"Yo x Ti, Tu x Mi",ROSALÍA,1598100,https://i.scdn.co/image/ab67616d00004851694844fd046ab81e5dc9a4cf,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
36,2019-10-08,37,Flat,It's You,Ali Gatie,1587631,https://i.scdn.co/image/ab67616d00004851c1d281f747062f4687df6a9c,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
37,2019-10-08,38,Flat,boyfriend (with Social House),Ariana Grande,1569821,https://i.scdn.co/image/cc61398e747371ff2fac8e7d3c8540d441021df6,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
38,2019-10-08,39,Up,Money In The Grave (Drake ft. Rick Ross),Drake,1546535,https://i.scdn.co/image/fc4497aa9502986aa3c1600da013bbb09dfbcefa,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
39,2019-10-08,40,Down,Takeaway,The Chainsmokers,1537403,https://i.scdn.co/image/ab67616d00004851830ba1c24fc9e3d59517e5ec,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
40,2019-10-08,41,Down,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,1506304,https://i.scdn.co/image/ab67616d000048518d30bd55125c9557a5ce95a6,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
41,2019-10-08,42,Flat,Good As Hell,Lizzo,1461209,https://i.scdn.co/image/ab67616d00004851cb4af8530c68c59fa98c4aa8,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
42,2019-10-08,43,Flat,Higher Love,Kygo,1459664,https://i.scdn.co/image/ab67616d000048517c8977a0ad3a3a0627be9ed7,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
43,2019-10-08,44,Flat,Piece Of Your Heart,MEDUZA,1413991,https://i.scdn.co/image/ab67616d0000485130272a26f7afa221f73984c7,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
