,Spotify_ID,name,name_album,album_type,total_tracks,duration_ms,explicit,track_number,mode,time_signature,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,max_chart_rank
0,4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Culture,album,13,343150,True,4,1,4,0.927,0.665,11,-5.313,0.244,0.061,0.0,0.12300000000000001,0.175,127.07600000000001,1.0
1,343YBumqHu19cGoGARUTsd,Fake Love,More Life,album,22,210937,True,20,0,4,0.9279999999999999,0.48100000000000004,9,-9.35,0.287,0.105,0.0,0.17600000000000002,0.613,134.007,2.0
2,5aAx2yezTd8zXrkmtKl66Z,Starboy,Starboy,album,18,230453,True,1,1,4,0.6809999999999999,0.594,7,-7.028,0.282,0.165,3.49e-06,0.134,0.535,186.054,3.0
3,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,single,1,244960,False,1,1,4,0.748,0.524,8,-5.599,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,4.0
4,6fujklziTHa8uoM5OQSfIo,Black Beatles,SremmLife 2 (Deluxe),album,14,291893,True,5,1,4,0.794,0.632,0,-6.162999999999999,0.0649,0.142,0.0,0.128,0.355,145.92600000000002,5.0
5,7yyRTcZmCiyzzJlNzGC9Ol,Broccoli (feat. Lil Yachty),Big Baby DRAM,album,14,225205,True,7,1,4,0.8859999999999999,0.525,8,-7.39,0.131,0.23600000000000002,0.0,0.057,0.708,145.99,6.0
6,1xznGGDReH1oQq0xzbwXa3,One Dance,Views,album,20,173986,False,12,1,4,0.7909999999999999,0.619,1,-5.886,0.0532,0.00784,0.004229999999999999,0.35100000000000003,0.371,103.98899999999999,7.0
7,7FB8l7UA1HKqnuSLjP9qDc,Caroline,Good For You,album,15,209640,True,3,1,4,0.9520000000000001,0.318,10,-10.357000000000001,0.467,0.174,0.0,0.205,0.665,120.07700000000001,6.0
8,4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,Encore,album,14,205946,False,13,1,4,0.47600000000000003,0.718,8,-5.309,0.0576,0.0784,1.0199999999999999e-05,0.122,0.142,199.864,9.0
9,0SGkqnVQo9KPytSri1H6cF,Bounce Back,I Decided.,album,14,222360,True,3,0,4,0.78,0.574,1,-5.627999999999999,0.141,0.10400000000000001,0.0,0.129,0.273,81.502,3.0
