,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2019-04-04,1,Flat,bad guy,Billie Eilish,7102216,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
1,2019-04-04,2,Flat,Con Calma,Daddy Yankee,3903739,https://i.scdn.co/image/6f41eca468967b98da6eaebece3466c4c5dd0d89,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
2,2019-04-04,3,Flat,7 rings,Ariana Grande,3773781,https://i.scdn.co/image/e1485e7ea6a9cb1d5bdd96e86e9246188670bbc7,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
3,2019-04-04,4,Flat,wish you were gay,Billie Eilish,3661293,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
4,2019-04-04,5,Flat,bury a friend,Billie Eilish,3536395,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
5,2019-04-04,6,Flat,Sucker,Jonas Brothers,3416343,https://i.scdn.co/image/8a9d8716b45ced8606d034d4e026a431fbdd06f4,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
6,2019-04-04,7,Flat,Old Town Road,Lil Nas X,3363526,https://i.scdn.co/image/ab67616d0000485105211b7d31fe69c3e8adbe95,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
7,2019-04-04,8,Flat,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3248770,https://i.scdn.co/image/ab67616d00004851e2e352d89826aef6dbd5ff8f,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
8,2019-04-04,9,Up,Wow.,Post Malone,2988882,https://i.scdn.co/image/ab67616d0000485179eb2363cc79781b03d80b2e,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
9,2019-04-04,10,Down,when the party's over,Billie Eilish,2948905,https://i.scdn.co/image/ed409b4be5bdf96fd451d7d1455b0667a3c6999c,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
10,2019-04-04,11,Flat,Shallow,Lady Gaga,2897630,https://i.scdn.co/image/c3e58f0c35cd87a247468863e25ed47be3502c4d,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
